comment,orders,ingredients
غذا شدیدا سرد به دستم رسید,"[{""food_title_1"": ""\u0686\u0644\u0648 \u062e\u0648\u0631\u0634\u062a \u0642\u0631\u0645\u0647 \u0633\u0628\u0632\u06cc""}, {""food_title_2"": ""\u0646\u0648\u0634\u0627\u0628\u0647 \u0628\u0637\u0631\u06cc \u067e\u067e\u0633\u06cc""}]","""\n            1:\n            title: \u0686\u0644\u0648 \u062e\u0648\u0631\u0634\u062a \u0642\u0631\u0645\u0647 \u0633\u0628\u0632\u06cc\n            ingredients: 200 \u06af\u0631\u0645 \u062e\u0648\u0631\u0634\u062a \u0642\u0648\u0631\u0645\u0647 \u0633\u0628\u0632\u06cc\u060c 4 \u062a\u06a9\u0647 \u06af\u0648\u0634\u062a \u06af\u0648\u0633\u0627\u0644\u0647\u060c 360 \u06af\u0631\u0645 \u0628\u0631\u0646\u062c \u0627\u06cc\u0631\u0627\u0646\u06cc\n            \n            2:\n            title: \u0646\u0648\u0634\u0627\u0628\u0647 \u0628\u0637\u0631\u06cc \u067e\u067e\u0633\u06cc\n            ingredients: 300 \u0645\u06cc\u0644\u06cc \u0644\u06cc\u062a\u0631\n            """
"سلام..کیفیت معمولی روی به پایین است و جا دارد خیلی روی کیفیت کار شود و برنج هم بسیار معمولی و البته به اندازه یک نفر هم کفاف نمی کرد حالت پرس بچه گانه داشت..کباب هم کیفیت پایین و بسیار حجم کوچکی داشت و جوجه هم کیفیت معمولی داشت و جا داشت پخت تر شود...
موفق باشید","[{""food_title_1"": ""\u0686\u0644\u0648 \u06a9\u0628\u0627\u0628 \u0648\u0632\u06cc\u0631\u06cc""}, {""food_title_2"": ""\u062e\u0648\u0631\u0627\u06a9 \u06a9\u0628\u0627\u0628 \u06a9\u0648\u0628\u06cc\u062f\u0647 \u0646\u06af\u06cc\u0646 \u062f\u0627\u0631""}]","""\n            1:\n            title: \u0686\u0644\u0648 \u06a9\u0628\u0627\u0628 \u0648\u0632\u06cc\u0631\u06cc\n            ingredients: \u06cc\u06a9 \u0633\u06cc\u062e \u062c\u0648\u062c\u0647 190 \u06af\u0631\u0645\u06cc \u06cc\u06a9 \u0633\u06cc\u062e \u06af\u0648\u0634\u062a \u06a9\u0648\u0628\u06cc\u062f\u0647 90 \u06af\u0631\u0645\u06cc \u0648 370 \u06af\u0631\u0645 \u0628\u0631\u0646\u062c \u0627\u06cc\u0631\u0627\u0646\u06cc\n            \n            2:\n            title: \u062e\u0648\u0631\u0627\u06a9 \u06a9\u0628\u0627\u0628 \u06a9\u0648\u0628\u06cc\u062f\u0647 \u0646\u06af\u06cc\u0646 \u062f\u0627\u0631\n            ingredients: \u06cc\u06a9 \u0633\u06cc\u062e \u06a9\u0628\u0627\u0628 \u06a9\u0648\u0628\u06cc\u062f\u0647 \u0645\u062e\u0644\u0648\u0637 \u06af\u0648\u0634\u062a \u06af\u0648\u0633\u0627\u0644\u0647 \u0648 \u06af\u0648\u0633\u0641\u0646\u062f\u06cc 100 \u06af\u0631\u0645\u06cc\u060c \u062a\u06a9\u0647 \u0647\u0627\u06cc \u0633\u06cc\u0646\u0647 \u0645\u0631\u063a \u0628\u0647 \u0635\u0648\u0631\u062a \u0646\u06af\u06cc\u0646\u06cc\u060c \u062f\u0648\u0631\u0686\u06cc\u0646: \u06a9\u0644\u0645 \u0642\u0631\u0645\u0632\u060c \u062e\u06cc\u0627\u0631\u0634\u0648\u0631\u060c \u06a9\u0631\u0647\n            """
متاسفانه ۲ بسته از بسته های غذا کاملا شکسته بود و محتوی بسته ها بیرون ریخته بود,"[{""food_title_1"": ""\u062e\u0648\u0631\u0634\u062a \u0642\u0631\u0645\u0647 \u0633\u0628\u0632\u06cc (\u0627\u0636\u0627\u0641\u0647)""}]","""\n            1:\n            title: \u062e\u0648\u0631\u0634\u062a \u0642\u0631\u0645\u0647 \u0633\u0628\u0632\u06cc (\u0627\u0636\u0627\u0641\u0647)\n            ingredients: 200 \u06af\u0631\u0645 \u062e\u0648\u0631\u0634\u062a \u0642\u0648\u0631\u0645\u06d5 \u0633\u0628\u0632\u06cc\u060c 4 \u062a\u06a9\u06d5 \u06af\u0648\u0634\u062a \u06af\u0648\u0633\u0627\u0644\u06d5\u060c \u0628\u062f\u0648\u0646 \u0628\u0631\u0646\u062c\n            """
پاچین زده بود ۴۵۰ گرمی ولی تحویل با ظرفش ۳۰۰ گرم بود,"[{""food_title_1"": ""\u062e\u0648\u0631\u0634\u062a \u0642\u06cc\u0645\u0647 \u0633\u06cc\u0628 \u0632\u0645\u06cc\u0646\u06cc (\u0627\u0636\u0627\u0641\u0647)""}, {""food_title_2"": ""\u062e\u0648\u0631\u0634\u062a \u0642\u0631\u0645\u0647 \u0633\u0628\u0632\u06cc (\u0627\u0636\u0627\u0641\u0647)""}, {""food_title_3"": ""\u062e\u0648\u0631\u0627\u06a9 \u067e\u0627\u0686\u06cc\u0646 \u06a9\u0628\u0627\u0628\u06cc""}]","""\n            1:\n            title: \u062e\u0648\u0631\u0634\u062a \u0642\u06cc\u0645\u0647 \u0633\u06cc\u0628 \u0632\u0645\u06cc\u0646\u06cc (\u0627\u0636\u0627\u0641\u0647)\n            ingredients: 200 \u06af\u0631\u0645 \u062e\u0648\u0631\u0634\u062a \u0642\u06cc\u0645\u0647 \u0633\u06cc\u0628 \u0632\u0645\u06cc\u0646\u06cc\u060c 4 \u062a\u06a9\u0647 \u06af\u0648\u0634\u062a \u06af\u0648\u0633\u0627\u0644\u0647\u060c \u0633\u06cc\u0628 \u0632\u0645\u06cc\u0646\u06cc \u0633\u0631\u062e \u0634\u062f\u0647\u060c \u0628\u062f\u0648\u0646 \u0628\u0631\u0646\u062c\n            \n            2:\n            title: \u062e\u0648\u0631\u0634\u062a \u0642\u0631\u0645\u0647 \u0633\u0628\u0632\u06cc (\u0627\u0636\u0627\u0641\u0647)\n            ingredients: 200 \u06af\u0631\u0645 \u062e\u0648\u0631\u0634\u062a \u0642\u0648\u0631\u0645\u06d5 \u0633\u0628\u0632\u06cc\u060c 4 \u062a\u06a9\u06d5 \u06af\u0648\u0634\u062a \u06af\u0648\u0633\u0627\u0644\u06d5\u060c \u0628\u062f\u0648\u0646 \u0628\u0631\u0646\u062c\n            \n            3:\n            title: \u062e\u0648\u0631\u0627\u06a9 \u067e\u0627\u0686\u06cc\u0646 \u06a9\u0628\u0627\u0628\u06cc\n            ingredients: \u06cc\u06a9 \u0633\u06cc\u062e \u067e\u0627\u0686\u06cc\u0646 \u06a9\u0628\u0627\u0628\u06cc 400 \u06af\u0631\u0645\u06cc\u060c \u062f\u0648\u0631\u0686\u06cc\u0646: \u06a9\u0644\u0645 \u0642\u0631\u0645\u0632\u060c \u062e\u06cc\u0627\u0631\u0634\u0648\u0631\u060c \u06a9\u0631\u0647\n            """
خوشمزه بود ولی خیلییییی چرب بود و روغن ریخته بود توی پلاستیک.از روغن غذا کم کنید لطفا.هردوغذا چرب بود,"[{""food_title_1"": ""\u0686\u0644\u0648 \u0645\u0631\u063a \u0633\u0633 \u067e\u0632 \u0631\u0627\u0646""}, {""food_title_2"": ""\u0686\u0644\u0648 \u0645\u0631\u063a \u0633\u0631\u062e \u0634\u062f\u0647 \u0631\u0627\u0646""}]","""\n            1:\n            title: \u0686\u0644\u0648 \u0645\u0631\u063a \u0633\u0633 \u067e\u0632 \u0631\u0627\u0646\n            ingredients: 400 \u06af\u0631\u0645 \u0645\u0631\u063a \u0633\u0633 \u067e\u0632\u060c 360 \u06af\u0631\u0645 \u0628\u0631\u0646\u062c \u0627\u06cc\u0631\u0627\u0646\u06cc\u060c \u062f\u0648\u0631\u0686\u06cc\u0646: \u062a\u0647 \u062f\u06cc\u06af \u0632\u0639\u0641\u0631\u0627\u0646\u06cc\u060c \u06a9\u0644\u0645 \u0642\u0631\u0645\u0632\u060c \u062e\u06cc\u0627\u0631\u0634\u0648\u0631\u060c \u06a9\u0631\u0647\n            \n            2:\n            title: \u0686\u0644\u0648 \u0645\u0631\u063a \u0633\u0631\u062e \u0634\u062f\u0647 \u0631\u0627\u0646\n            ingredients: 400 \u06af\u0631\u0645 \u0645\u0631\u063a \u0633\u0631\u062e \u0634\u062f\u0647\u060c 360 \u06af\u0631\u0645 \u0628\u0631\u0646\u062c \u0627\u06cc\u0631\u0627\u0646\u06cc\u060c \u062f\u0648\u0631\u0686\u06cc\u0646: \u062a\u0647 \u062f\u06cc\u06af \u0632\u0639\u0641\u0631\u0627\u0646\u06cc\n            """
عالی و خوشمزه بود ممنونم,"[{""food_title_1"": ""\u0634\u0644\u0647 \u0645\u0645\u062a\u0627\u0632 \u06cc\u06a9 \u06a9\u06cc\u0644\u0648\u06af\u0631\u0645""}, {""food_title_2"": ""\u0634\u0644\u0647 \u0645\u0645\u062a\u0627\u0632 500 \u06af\u0631\u0645""}]","""\n            1:\n            title: \u0634\u0644\u0647 \u0645\u0645\u062a\u0627\u0632 \u06cc\u06a9 \u06a9\u06cc\u0644\u0648\u06af\u0631\u0645\n            ingredients: \n            \n            2:\n            title: \u0634\u0644\u0647 \u0645\u0645\u062a\u0627\u0632 500 \u06af\u0631\u0645\n            ingredients: \n            """
مقدار و کیفیت عالی,"[{""food_title_1"": ""\u0627\u0633\u062a\u0627\u0645\u0628\u0648\u0644\u06cc""}]","""\n            1:\n            title: \u0627\u0633\u062a\u0627\u0645\u0628\u0648\u0644\u06cc\n            ingredients: 360 \u06af\u0631\u0645\u060c \u0644\u0648\u0628\u06cc\u0627 \u0633\u0628\u0632\u060c \u0647\u0648\u06cc\u0686 \u0646\u06af\u06cc\u0646\u06cc\u060c \u0628\u0631\u0646\u062c \u0627\u06cc\u0631\u0627\u0646\u06cc\u060c \u062f\u0648\u0631\u0686\u06cc\u0646: \u062a\u0647 \u062f\u06cc\u06af \u0632\u0639\u0641\u0631\u0627\u0646\u06cc\n            """
قرمه سبزی اصلا خوب نبود این دفعه,"[{""food_title_1"": ""\u0686\u0644\u0648 \u062e\u0648\u0631\u0634\u062a \u0642\u0631\u0645\u0647 \u0633\u0628\u0632\u06cc""}, {""food_title_2"": ""\u0646\u0648\u0634\u0627\u0628\u0647 \u0628\u0637\u0631\u06cc \u067e\u067e\u0633\u06cc""}]","""\n            1:\n            title: \u0686\u0644\u0648 \u062e\u0648\u0631\u0634\u062a \u0642\u0631\u0645\u0647 \u0633\u0628\u0632\u06cc\n            ingredients: 200 \u06af\u0631\u0645 \u062e\u0648\u0631\u0634\u062a \u0642\u0648\u0631\u0645\u0647 \u0633\u0628\u0632\u06cc\u060c 4 \u062a\u06a9\u0647 \u06af\u0648\u0634\u062a \u06af\u0648\u0633\u0627\u0644\u0647\u060c 360 \u06af\u0631\u0645 \u0628\u0631\u0646\u062c \u0627\u06cc\u0631\u0627\u0646\u06cc\n            \n            2:\n            title: \u0646\u0648\u0634\u0627\u0628\u0647 \u0628\u0637\u0631\u06cc \u067e\u067e\u0633\u06cc\n            ingredients: 300 \u0645\u06cc\u0644\u06cc \u0644\u06cc\u062a\u0631\n            """
بسیار بسیار عالی و خوشمزه,"[{""food_title_1"": ""\u0634\u0644\u0647 \u0645\u0645\u062a\u0627\u0632 \u06cc\u06a9 \u06a9\u06cc\u0644\u0648\u06af\u0631\u0645""}]","""\n            1:\n            title: \u0634\u0644\u0647 \u0645\u0645\u062a\u0627\u0632 \u06cc\u06a9 \u06a9\u06cc\u0644\u0648\u06af\u0631\u0645\n            ingredients: \n            """
مرغ طعمو مزه نداشت,"[{""food_title_1"": ""\u0686\u0644\u0648 \u0645\u0631\u063a \u0633\u0631\u062e \u0634\u062f\u0647 \u0645\u062e\u0635\u0648\u0635""}, {""food_title_2"": ""\u0686\u0644\u0648 \u06a9\u0631\u0647""}, {""food_title_3"": ""\u0633\u0648\u067e \u062c\u0648 \u06cc\u06a9 \u0646\u0641\u0631\u0647""}, {""food_title_4"": ""\u0646\u0648\u0634\u0627\u0628\u0647 \u062e\u0627\u0646\u0648\u0627\u062f\u0647 \u067e\u067e\u0633\u06cc""}]","""\n            1:\n            title: \u0686\u0644\u0648 \u0645\u0631\u063a \u0633\u0631\u062e \u0634\u062f\u0647 \u0645\u062e\u0635\u0648\u0635\n            ingredients: 370 \u06af\u0631\u0645 \u0628\u0631\u0646\u062c \u0627\u06cc\u0631\u0627\u0646\u06cc \u062a\u0647 \u062f\u06cc\u06af \u0632\u0639\u0641\u0631\u0627\u0646\u06cc \u0648 400 \u06af\u0631\u0645 \u0631\u0627\u0646 \u0633\u0631\u062e \u0634\u062f\u0647 \u0645\u0631\u063a \u0648 \u062f\u0648\u0631\u0686\u06cc\u0646\n            \n            2:\n            title: \u0686\u0644\u0648 \u06a9\u0631\u0647\n            ingredients: 370 \u06af\u0631\u0645 \u0628\u0631\u0646\u062c \u0627\u06cc\u0631\u0627\u0646\u06cc \u0648 \u062a\u0647 \u062f\u06cc\u06af \u0632\u0639\u0641\u0631\u0627\u0646\u06cc\n            \n            3:\n            title: \u0633\u0648\u067e \u062c\u0648 \u06cc\u06a9 \u0646\u0641\u0631\u0647\n            ingredients: \u062c\u0648\u060c \u0647\u0648\u06cc\u062c\u060c \u0631\u0628\u060c \u0633\u06cc\u0646\u0647 \u0645\u0631\u063a \u0631\u06cc\u0634 \u0631\u06cc\u0634 \u0634\u062f\u0647\u060c \u0628\u062f\u0648\u0646 \u0646\u0627\u0646\n            \n            4:\n            title: \u0646\u0648\u0634\u0627\u0628\u0647 \u062e\u0627\u0646\u0648\u0627\u062f\u0647 \u067e\u067e\u0633\u06cc\n            ingredients: 1.5 \u0644\u06cc\u062a\u0631\n            """
بسیار عالی و خوشمزه بود,"[{""food_title_1"": ""\u062e\u0648\u0631\u0627\u06a9 \u062c\u0648\u062c\u0647 \u06a9\u0628\u0627\u0628 \u06cc\u06a9 \u0633\u06cc\u062e""}, {""food_title_2"": ""\u062e\u0648\u0631\u0627\u06a9 \u06a9\u0628\u0627\u0628 \u06a9\u0648\u0628\u06cc\u062f\u0647 \u06cc\u06a9 \u0633\u06cc\u062e""}]","""\n            1:\n            title: \u062e\u0648\u0631\u0627\u06a9 \u062c\u0648\u062c\u0647 \u06a9\u0628\u0627\u0628 \u06cc\u06a9 \u0633\u06cc\u062e\n            ingredients: \u062c\u0648\u062c\u0647 \u06a9\u0628\u0627\u0628 \u0633\u06cc\u0646\u0647 \u0645\u0631\u063a 190 \u06af\u0631\u0645\u06cc\u060c \u062f\u0648\u0631\u0686\u06cc\u0646: \u06a9\u0644\u0645 \u0642\u0631\u0645\u0632\u060c \u062e\u06cc\u0627\u0631\u0634\u0648\u0631\u060c \u06a9\u0631\u0647\n            \n            2:\n            title: \u062e\u0648\u0631\u0627\u06a9 \u06a9\u0628\u0627\u0628 \u06a9\u0648\u0628\u06cc\u062f\u0647 \u06cc\u06a9 \u0633\u06cc\u062e\n            ingredients: \u06a9\u0628\u0627\u0628 \u06a9\u0648\u0628\u06cc\u062f\u0647 \u06af\u0648\u0634\u062a \u0645\u062e\u0644\u0648\u0637 \u06af\u0648\u0633\u0627\u0644\u0647 \u0648 \u06af\u0648\u0633\u0641\u0646\u062f\u06cc 90 \u06af\u0631\u0645\u06cc\u060c \u062f\u0648\u0631\u0686\u06cc\u0646: \u06a9\u0644\u0645 \u0642\u0631\u0645\u0632\u060c \u062e\u06cc\u0627\u0631\u0634\u0648\u0631\u060c \u06a9\u0631\u0647\n            """
لطفا از ظرف باکیفیت تری استفاده کنید تا در اثر گرما تغییر شکل نده,"[{""food_title_1"": ""\u0686\u0644\u0648 \u062e\u0648\u0631\u0634\u062a \u0642\u06cc\u0645\u0647 \u0633\u06cc\u0628 \u0632\u0645\u06cc\u0646\u06cc""}, {""food_title_2"": ""\u0686\u0644\u0648 \u062e\u0648\u0631\u0634\u062a \u0642\u0631\u0645\u0647 \u0633\u0628\u0632\u06cc""}]","""\n            1:\n            title: \u0686\u0644\u0648 \u062e\u0648\u0631\u0634\u062a \u0642\u06cc\u0645\u0647 \u0633\u06cc\u0628 \u0632\u0645\u06cc\u0646\u06cc\n            ingredients: 200 \u06af\u0631\u0645 \u062e\u0648\u0631\u0634\u062a \u0642\u06cc\u0645\u0647 \u0633\u06cc\u0628 \u0632\u0645\u06cc\u0646\u06cc\u060c 4 \u062a\u06a9\u0647 \u06af\u0648\u0634\u062a \u06af\u0648\u0633\u0627\u0644\u0647\u060c \u0633\u06cc\u0628 \u0632\u0645\u06cc\u0646\u06cc \u0633\u0631\u062e \u0634\u062f\u0647\u060c 360 \u06af\u0631\u0645 \u0628\u0631\u0646\u062c \u0627\u06cc\u0631\u0627\u0646\u06cc\n            \n            2:\n            title: \u0686\u0644\u0648 \u062e\u0648\u0631\u0634\u062a \u0642\u0631\u0645\u0647 \u0633\u0628\u0632\u06cc\n            ingredients: 200 \u06af\u0631\u0645 \u062e\u0648\u0631\u0634\u062a \u0642\u0648\u0631\u0645\u0647 \u0633\u0628\u0632\u06cc\u060c 4 \u062a\u06a9\u0647 \u06af\u0648\u0634\u062a \u06af\u0648\u0633\u0627\u0644\u0647\u060c 360 \u06af\u0631\u0645 \u0628\u0631\u0646\u062c \u0627\u06cc\u0631\u0627\u0646\u06cc\n            """
خوراک مرغ با سس خوشمزه بود و جوجه هم خوب بود. ولی دفعه اولی که غذا رو تحویل دادن یادشون رفته بود نصف سفارش رو بفرستن و مجبور شدم به پشتیبان پیام بدم. البته مشکل حل شد و تقریبا نیم ساعت بعد بقیه غذا رو فرستادن ولی به هرحال همچین اشتباهی برام عجیب بود.,"[{""food_title_1"": ""\u062e\u0648\u0631\u0627\u06a9 \u0645\u0631\u063a \u0633\u0633 \u067e\u0632 \u0631\u0627\u0646""}, {""food_title_2"": ""\u062e\u0648\u0631\u0627\u06a9 \u062c\u0648\u062c\u0647 \u06a9\u0628\u0627\u0628 \u06cc\u06a9 \u0633\u06cc\u062e""}]","""\n            1:\n            title: \u062e\u0648\u0631\u0627\u06a9 \u0645\u0631\u063a \u0633\u0633 \u067e\u0632 \u0631\u0627\u0646\n            ingredients: 400 \u06af\u0631\u0645 \u0645\u0631\u063a \u0633\u0633 \u067e\u0632\u060c \u062f\u0648\u0631\u0686\u06cc\u0646: \u06a9\u0644\u0645 \u0642\u0631\u0645\u0632\u060c \u062e\u06cc\u0627\u0631\u0634\u0648\u0631\u060c \u06a9\u0631\u0647\n            \n            2:\n            title: \u062e\u0648\u0631\u0627\u06a9 \u062c\u0648\u062c\u0647 \u06a9\u0628\u0627\u0628 \u06cc\u06a9 \u0633\u06cc\u062e\n            ingredients: \u062c\u0648\u062c\u0647 \u06a9\u0628\u0627\u0628 \u0633\u06cc\u0646\u0647 \u0645\u0631\u063a 190 \u06af\u0631\u0645\u06cc\u060c \u062f\u0648\u0631\u0686\u06cc\u0646: \u06a9\u0644\u0645 \u0642\u0631\u0645\u0632\u060c \u062e\u06cc\u0627\u0631\u0634\u0648\u0631\u060c \u06a9\u0631\u0647\n            """
اولین بار بود ک سفارش میدادم واقعا عالی بود غذا گرم، حجمش بالا بود و زود ب دستم رسید.شک ندارم دفعات بعد هم سفارش بدم.در کل بسیار عالی ممنونم,"[{""food_title_1"": ""\u0627\u0633\u062a\u0627\u0645\u0628\u0648\u0644\u06cc""}]","""\n            1:\n            title: \u0627\u0633\u062a\u0627\u0645\u0628\u0648\u0644\u06cc\n            ingredients: 360 \u06af\u0631\u0645\u060c \u0644\u0648\u0628\u06cc\u0627 \u0633\u0628\u0632\u060c \u0647\u0648\u06cc\u0686 \u0646\u06af\u06cc\u0646\u06cc\u060c \u0628\u0631\u0646\u062c \u0627\u06cc\u0631\u0627\u0646\u06cc\u060c \u062f\u0648\u0631\u0686\u06cc\u0646: \u062a\u0647 \u062f\u06cc\u06af \u0632\u0639\u0641\u0631\u0627\u0646\u06cc\n            """
